"advert_name","advert_details","advert_price"
"Event Prospect","TB xBayGelding1 years16.2 hands","£5,500 ovno"
"*****SALES / SCHOOLING / COMPETION LIVERY AVAILABLE****","",""
"Superb Riding club Allrounder","ThoroughbredBayGelding12 years16.2 hands","£4,250"
"BEN","Irish Sports HorseGreyGelding9 years16.1 hands","£8,850"
"Talented 5 year old gelding by Sir Donerhall x Fidermark","BayGelding5 years17.1 hands",""
"CLAUDIUS","Stallion11 years17 hands","£650 STUD FEE"
"Bridgette – Irish Sport Horse","Irish DraughtGreyMare7 years16.3 hands","£9,000"
"KEYSTONE RHONDEO X DON FREDERICO","ChestnutMare7 years16.2 hands","£22,000"
"Talented SJ / Event Prospect","ChestnutGelding6 years16.2 hands","£7,500"
"STALLION AT STUD","",""
"Powered by diamonds","Sports PonyBlackGelding3 years15 hands","£6,000"
"Two super three year olds","","£12,000 each"
"2 RID geldings 3 yr olds","Irish DraughtGelding3 years",""
"Polite Allrounder","ID x TBChestnutMare11 years16.1 hands","SOLD! Passed 5 stage vetting & sold to the most wonderful home!"
"Standing at North Brook End Stud for 2020 on behalf of Sarah Hancock","",""
"* Exceptionally Safe Mare*","BlackMare4 years16.2 hands","£11,000 ono"
"Super little event horse","Sport HorseDark bayGelding8 years15.1 hands","£12,000"
"Diggo","Gelding12 years17 hands",""
"FOALING UNIT AT NORTH BROOK END STUD","",""
"Active Scuderia 2","Gelding6 years170 hands",""
"Zeppe Blue","Mare16 hands","£6,750"
"16.3hh 5 years bay gelding by Diamond Design x Lancer III","BayGelding5 years16.3 hands",""
"SASSY PONY LOOKING FOR A SASSY NEW OWNER","Mare13 years14.2 hands","£3,750"
"Superb young dressage horse with fantastic temperament","British WarmbloodAppaloosaGelding5 years16 hands","SOLD!"
"Super flashy","Irish Sports HorseBayFilly2 years15.3 hands","£3,950"
"Simply stunning","WarmbloodChestnutGelding2 years16 hands","£7,500"
"Something very special","WarmbloodGrey roanGelding2 years16.3 hands","£7,500"
"Rich Lady K","ISH / WBDark bayMare10 years16 hands","£8,750 ovno"
"Top eventer / show jumper prospect","WarmbloodBayGelding6 years15.3 hands","£9,950 oiro"
"15.3hh 4 yr old chestnut mare by Ramiro B x Fraam (TB)","ChestnutMare4 years15.3 hands",""
"AGAINST THE GRAIN - SERIOUS COMPETITION PROSPECT","TB xBayGelding9 years16.1 hands","POA"
"Ashtree mac","CobColouredGelding6 years15.2 hands","£5,750 ono"
"4 YEAR OLD - By Contendro","BayGelding4 years15.3 hands",""
"Dantes Inferno (Flint)","Sport HorseGreyGelding12 years16 hands","£10,000 ono"
"Striking Coloured Filly","Sport HorseSkewbaldFilly3 years15.2 hands",""
"Annie","ID x TBBayMare8 years15.2 hands (LHC)","SOLD! Sold"
"EXCITING OPPORTUNITY","ISH / WBBayGelding9 years16.3 hands","£25,000 oiro"
"PIPPA","Mare10 years16 hands","£8,000"
"Extremely Talented and Flashy Horse","Belgian WarmbloodChestnutGelding9 years16.1 hands","£20,000"
"ONCE IN A LIFETIME SCHOOL MASTER","Dutch WarmbloodGreyGelding17 years17 hands","£8,950 ono"
"HORSEBOX BROKERAGE - HORSEBOXES WANTED","",""
"8 year old bay mare 15.3hh by Grafenstolz","BayMare8 years15.3 hands",""
"Super Smart and Sensible Event / SJ / Dressage","Irish Sports HorseBayMare6 years16.1 hands","£19,000"
"Dutch Warmblood Schoolmaster BSJA registered","Dutch WarmbloodChestnutGelding16 years17 hands","£4,500 ovno"
"Serious 4* horse","HanoverianGreyMare13 years16.1 hands","£75,000 oiro"
"15hh Connemara Gelding 11 years Ideal Companion","ConnemaraChocolate DunGelding11 years15 hands","£1,000"
"Top Quality Irish Draught yearling filly","Irish DraughtLiver chestnutFillyUnder 114 hands","£2,000"
"Very pretty pony club pony.","Arab Part BredFleabitten greyMare13 years14.1 hands","£4,500 ono"
"Super Grassroots / PC / RC allrounder","ISH / WBDark bayGelding11 years16.2 hands","£20,000 oiro"
"MASTER PLAN II","Sport HorseBayFilly1 years14.1 hands","£3,500 ono"
"Top Showjumping Mare Full Of Potential For Sport & Breeding","WestphalianBayMare5 years167 cm","£10,000 ono"
"8yr 15.1 Horse / Eventing Prospect /","GreyGelding8 years15.1 hands","POA"
"Smart quality irish horse","IrishPiebaldGelding7 years15.2 hands","£4,500"
"Steady Family Friend","CobGreyMare5 years15.2 hands","£5,250"
"Retired competition horse looking for a new job - LOAN","Welsh Section DStrawberry roanGelding18 years14.3 hands",""
"BEAUTIFUL TALENTED SUCCESSFUL 'GENTLEMAN'","Sport HorseDark brownGelding12 years16.1 hands","£25,000"
"International Para Schoolmaster","KWPNChestnutGelding22 years16.1 hands","POA"
"WANTED","",""
"Stunning Oldenburg Broodmare","OldenburgBlackMare3 years16.2 hands","£6,500"
"MAXIMUS","ChestnutGelding3 years16.2 hands","£7,750"
"Stunning 15h Bay Mare","ISH / WBBayMare11 years15 hands","£6,750"
"Stunning 14 yo Small tour gelding by 007. (Rubenstein) Working Grand Prix. YR prospect. Kind easygoing nature.","Dutch WarmbloodDark bayGelding14 years16.1 hands","£35,000 offers"
"Super dressage horse","British WarmbloodBlackGelding4 years17.1 hands","£35,000"
"Looking for next home for this lovely boy","ThoroughbredBayGelding10 years15.3 hands","SOLD!"
"Amazing showjumper for sale","Belgian WarmbloodBayGelding8 years16.2 hands","£35,000"
"SMART AND TALENTED FUTURE STAR","Sport HorseChestnutGelding6 years16.2 hands","£12,000 ono"
"TOP CLASS WELSH SECTION D","Welsh Section DBayGelding3 years14.3 hands","£3,000"
"Top quality traditional irish unbroken gelding","Irish Sports HorseDark bayGelding3 years16.2 hands","POA"
"Classy Potential Event / Allrounder","Irish Sports HorseChocolate DunMare4 years16 hands","£7,500"
"Phenomenal schoolmistress","Sport HorseLiver chestnutMare10 years17.1 hands","£5,500"
"SUPER SAFE AND EXPERIENCED ALL ROUNDER","Welsh Part BredGreyGelding14 years15 hands","£5,500 ovno"
"GENUINE COMPETITION / SJ / EVENT","IrishColouredMare6 years16.2 hands","£15,000 ONO"
"Fantastic Eventer / All rounder","British WarmbloodBlackMare5 years15.3 hands","£6,500 ono"
"Super Event / Dressage Prospect","British WarmbloodDark bayGelding5 years16.3 hands","£19,500"
"Exceptional Jumper by Namelus R","KWPNDark bayGelding9 years172 cm","POA"
"Superb allrounder","CobColouredMare8 years15.2 hands","SOLD! Similar avail"
"Top Quality Homebred","Sport HorseChestnutMare7 years16.1 hands","£15,000 ono"
"3y/o Connemara x Tb gelding","Irish Sports HorseSteel greyGelding3 years15.3 hands","£6,000"
"Super fun allrounder","CobColouredMare5 years14 hands","£2,950"
"Quality Eventing Prospect","Sport HorseBayMare6 years16 hands","£5,250"
"Perfect BE 80 / 90 Schoolmaster / PC Eventer.","ConnemaraFleabitten greyGelding12 years15 hands","POA"
"Top Class WHP, Allrounder, Junior Event Horse","Sport HorseGreyGelding4 years15 hands","£6,000 ono"
"Dressage Partner Wanted","",""
"ELITE WILD CHILD FILLY","HanoverianChestnutFilly1 years16.3 hands","£12,500 ono"
"FLASHY YOUNG SHOWJUMPER","Dark bayGelding7 years16.3 hands","£10,000 ono"
"True allrounder","Welsh Part BredBayGelding14 years15.3 hands","SOLD!"
"WANTED: 4 YEAR OLD SHOW JUMPING MARE","",""
"Wanted schoolmaster / mistress","",""
"Handsome Allrounder","Dutch WarmbloodBayGelding12 years16.2 hands","£10,000"
"ONE CLARIMO","Belgian WarmbloodGreyGelding7 years16.1 hands","POA"
"Hunting / Competition Horse","IrishDapple greyGelding12 years15.3 hands","£4,950"
"Eventing Schoolmaster","TB xBlackGelding14 years16 hands","£8,000 ono"
"Eventer / Show Jumper / Working Hunter","Irish Sports HorseBlackGelding9 years17 hands","£18,000 ono"
"3* Event horse looking for Dressage home","British WarmbloodBrownGelding12 years16.1 hands","£12,000"
"SMASHING CONNIE GELDING","BayGelding10 years15.1 hands",""
"QUALITY YOUNGSTER FOR SJ / EVENT / WH","ChestnutMare4 years16.1 hands","£4,500"
"KIEF AMAZING MARCO","GreyGelding3 years16.3 hands","£15,000"
"KIEF BIONIC MAN","ChestnutGelding3 years","£8,000"
"Lovely Lad","CobBayGelding13 years15.1 hands","SOLD!"
"Gorgeous Lady","CobBayMare12 years15.2 hands","SOLD!"
"Cosmo","IrishDark bayGelding6 years14.2 hands","£6,000 ono"
"DRESSAGE BRED BROODMARE WANTED","",""
"RICK","BayGelding12 years16.3 hands","£7,000 ONO"
"Failoo","Gelding10 years17.2 hands","£10,500"
"D’ARTAGNAN Z","ZangersheideGelding7 years16.1 hands","£18,000"
"Ultimate Star","Gelding7 years16.3 hands","£20,000"
"PERFECT BE GRASSROOTS / RC / PC / NSEA / ALLROUNDER","Sport HorseGreyGelding7 years16.2 hands","£15,000"
"STUNNING 2020 GREY COLT FOAL","","£5,000 no offers"
"SALES AND TRAINING","",""
"Potential Grass Roots/WHP","ConnemaraDapple greyMare5 years15 hands","SOLD! Sold to a lovely home"
"Beautiful dressage mare by Woodlander Rockstar","British WarmbloodDark brownMare10 years16.2 hands","£18,000"
"Stunning Dressage Mare","WarmbloodBlackMare4 years16 hands","£7,800"
"Top Class Sport Horse","Sport HorseBayFilly2 years16 hands","£4,500 ovno"
"Potential event prospect","Irish Sports HorseBayGelding4 years16.2 hands","£6,250"
"Wanted: 14hh top class pure Connemara","",""
"Top Class Eventing/SJ/Dressage Prospect - Burghley young event horse prospect","Sport HorseBright bayGelding3 years16.1 hands","£10,000 ono"
"LSV MERCRUISIOUS (Ollie)","ChestnutGelding8 years16.2 hands","£3,000 ovno"
"Outstanding filly","WarmbloodBayFillyUnder 1","£4,700 oiro"
"Matthias - Stunning AES Registered Rising 4yo","WarmbloodBrownGelding4 years16 hands","£6,500 ovno"
"Exceptional Yearling Gelding - a sort hard to find","TB xChestnutGelding1 years16.1 hands","£2,850 ono"
"Super schoolmaster","Dutch WarmbloodBayMare12 years16.1 hands","SOLD!"
"***TOP CLASS 3YO OBOS QUALITY X DOUGLAS***","Irish Sports HorseBayFilly3 years15.3 hands","£7,500"
"THE ULTIMATE POCKET ROCKET","ThoroughbredBayGelding8 years15.1 hands","£10,000"
"Schoolmaster showjumper","ChestnutGelding12 years16.1 hands","£17,000"
"Super Smart Dressage Mare","WarmbloodBayMare10 years16.3 hands","£12,500 neg"
"15hh+ Allrounder Wanted","","£2,000 offers"
"Super consistent and competitive!","Belgian WarmbloodBayMare7 years16.1 hands","£16,750 ovno"
"Thorneyside Casino","Welsh Section DBayStallion10 years14.3 hands","£6,950"
"Teenagers Dream Horse","WarmbloodLiver chestnutGelding8 years15.2 hands","£22,000"
"COMPETITIVE ALLROUNDER / SHOW JUMP","ThoroughbredChestnutMare11 years15.2 hands","£4,000"
"SMALL HUNTER / INTERMEDIATE SH / SPORT HORSE","Irish Sports HorseBright bayGelding4 years15.2 hands","£8,000 ovno"
"Nemo","IrishBayGelding8 years16.1 hands","SOLD!"
"KINDER SCOUT TOP CLASS COLOURED GELDING APPROX 17 HANDS 8 YRS","Sport HorseSkewbaldGelding8 years17 hands","SOLD!"
"Clinton I x Grannex mare infoal for 2021","ZangersheideBayMare6 years16 hands","£3,500 ovno"
"Top Class Event prospect - serious advanced potential","Irish Sports HorseGelding5 years16.1 hands","£17,500 ono"
"Eyecatching 4yr old 15hh","ConnemaraGreyGelding4 years15 hands","£5,000"
"Stunning filly","Sport HorseSkewbaldFilly3 years15.3 hands","£4,000 ono"
"Sensible all rounder","","£10 neg"
"Superb Belgian Warmblood Showjumper","Belgian WarmbloodBayMare8 years16.2 hands","£20,000"
"WANTED Working hunter","","£15,000 oiro"
"Dream horse of a lifetime NOT TO BE MISSED","WarmbloodPalominoGelding2 years16.2 hands","£6,500 ono"
"Quality Young Horse","Sport HorseDark bayFilly3 years15.1 hands","SOLD!"
"Potential Grassroots Winner!","Dapple greyMare5 years15.2 hands","£7,950"
"Grand Prix potential","Gelding4 years16.3 hands","£18,000 ONO"
"FABULOUS ADVANCED PONY SCHOOLMISTRESS NOT TO BE MISSED!!","BayMare14 years148 cm","£32,000"
"By DiMaggio","HanoverianChestnutMare6 years17 hands","£25,000 OIRO"
"Anyone looking for an eventer?","Mare4 years16.2 hands","£20,000"
"QUALITY WITH SUPER BLOODLINES","Dark bayGelding7 years16 hands","£22,000"
"4 year old filly - Nelson Van de Helle x Colin Diamond","BayMare4 years16 hands","£10,000 ONO"
"WANTED PONY - 14.1hh - 14.3hh","",""
"Sid","Irish DraughtChestnutGelding10 years18 hands","£7,500 oiro"
"Little London Stud livery - East Sussex","",""
"Smart Dun gelding","IrishDunGelding4 years15.1 hands","£7,500"
"Potential Junior Team / Small Tour","KWPNChestnutGelding8 years16.2 hands","£35,000"
"SUPER YOUNG EVENT PROSPECT","Sport HorseBayMare5 years16 hands","£12,500"
"Selection of young stock for sale","","£5,000 - Prices from"
"JAKE SUPER SMART ALL ROUND 15HH","Irish Sports HorseGreyGelding5 years15 hands","£7,500"
"Hanlon Sport Horses will be taking on rehab liveries over the coming weeks","",""
"BLACK BEAUTY STUNNING CONFIDENCE GIVING ADVANCED SCHOOLMASTER","BlackGelding14 years17.2 hands","£20,000"
"Livery available","",""
"RIHS 2019 M&M Ridden Champion","Welsh Section DDunMare7 years14 hands (AHC)","£15,000 ono"
"A little horse I think a LOT of!","Irish Sports HorseGreyGelding7 years15.1 hands","£10,500"
"Quality Small Dressage Mare","BayMare6 years15.2 hands","£18,000"
"Missy - Homebred 15.1hh 8 yrs superstar!","HanoverianBlackMare8 years15.1 hands","£7,500 ono"
"Westphalian - Bay - Mare - 5 years old - 16.3 - by Escolar x Akribor","WarmbloodBayMare5 years16.3 hands","£22,000"
"Beautiful natured schoolmistress","Irish Sports HorseSkewbaldMare14 years15 hands","£10,000 ONO"
"GREYFORD BOY","ConnemaraGreyGelding12 years15.2 hands","£15,000"
"Dressage Prospect","Riding PonyChestnutGelding8 years15.1 hands","£5,750"
"Beautiful Gelding by Dante Weltino","OldenburgBlackGelding7 years17.1 hands","£25,000"
"16hh fun all rounder family horse","Sport HorseBayMare12 years16 hands","£8,000"
"Hunter / Allrounder","IrishGreyGelding11 years16.1 hands","£6,500"
"WANTED BOMBPROOF ALLROUNDER","",""
"**SALES LIVERY SPACES AVAILABLE**","",""
"Selection of top quality Dressage foals","","£10,000"
"SUPER TALENTED BLACK BEAUTY","BlackGelding11 years16.1 hands","£38,000"
"OUTSTANDING 6 YEAR OLD BY FAIRYTALE X KRACK C.","BayMare6 years16.1 hands","£32,000"
"Stunning filly","British WarmbloodChestnutFillyUnder 1","£4,000 ono"
"A super prospect for BD / BS or BE","Gelding4 years16.1 hands","£9,500"
"Potential top class event horse","Irish Sports HorseMare5 years","£22,000"
"Handsome gelding","KWPNGelding6 years16.1 hands","£7,000"
"Homebred Warmblood Colt (2019) to make 16:2hh proven breeding","WarmbloodBayColt1 years16.2 hands","£3,000 NO OFFERS"
"Wolke Midnight - aka Jett","BlackGelding8 years17.1 hands","£15,000"
"15.3hh 8YO","Irish Sports HorseBayGelding8 years15.3 hands","£10,000"
"Exciting Project","Welsh Section DBayGelding7 years14 hands","£2,900"
"In Foal to Bazzar’s Chief due April 2021","Irish Sports HorseBayMare9 years16 hands","£5,000 neg"
"Blowell Beeline","Sport HorseChestnutMare8 years16.3 hands","£15,000 ovno"
"Loughview Ace of Diamonds","Gelding6 years17.2 hands","£25,000"
"16.2hh 5YO","Irish Sports HorseChestnutGelding5 years16.2 hands","£12,000"
"3 star event horse","TB xBayGelding12 years16.1 hands","£35,000 ono"
"Baldassario (Rio) is looking for his next home!","KWPNBlack14 years16.2 hands","£6,500"
"JINKABELLE","ThoroughbredChestnutMare5 years15.3 hands","£6,000"
"Talented 6 YO","Irish Sports HorseChestnutMare6 years16 hands","£16,500"
"Welsh Section C 3yr old Colt","Welsh Section CBayColt3 years13.1 hands","£3,250"
"Donovan","OldenburgGelding11 years16.1 hands","SOLD!"
"Seriously well bred mare","Irish Sports HorseBayMare6 years16.2 cm","SOLD!"
"Stunning Black Sports Horse","Irish Sports HorseBlackGelding5 years16 hands","SOLD!"
"Irish Eventer / Allrounder","Irish Sports HorseChestnutGelding6 years16.1 hands","£9,750"
"Cooley sportshorse - Cruising bloodlines","IrishBayGelding13 years16.2 hands","£9,500"
"Superb KWPN x PRE filly","KWPNDapple greyFillyUnder 1","£5,500 ovno"
"EXCITING PROSPECT FOR THE FUTURE","WarmbloodGreyMare3 years16.1 hands","£5,500 ovno"
"Stunning All Rounder","Irish Sports HorseGreyMare5 years16.2 hands","POA"
"The best moving filly","Sport HorseBayFillyUnder 1","£8,500"
"PSG / Young Rider / Junior","HanoverianBayGelding12 years16.3 hands","£40,000"
"Cevin Z colt foal","Sport HorseChestnutColtUnder 1","£10,000 + VAT"
"Top Class Amateur/COH/young riders horse","Dutch WarmbloodBayGelding11 years16.1 hands","£18,000 ono"
"Lovely Looking Experienced Hunter","Irish DraughtBayGelding8 years17 hands","£15,000 ono"
"HUGO BOSS - STRIKING DUN GELDING","Irish Sports HorseCream DunGelding10 years16.1 hands (AHC)","SOLD!"
"Top Quality, Genuine, Multi-talented Sports Horse","Irish Sports HorseBright bayGelding7 years16.3 hands","£15,250"
"An Exceptional Young Mare","British WarmbloodGreyMare3 years15.3 hands","£6,750"
"Just William","Irish Sports PonySkewbaldGelding12 years14.2 hands (LHC)","£7,000"
"Beautiful & Safe","Arab Part BredPiebaldMare4 years14.2 hands","SOLD! SOLD!"
"SPECKLES","Mare9 years15.2 hands","£5,250"
"QUALITY HOMEBRED PERFORMANCE HORSES","","£5,000 - Prices start from"
"BGS Skyline","Irish Sports HorseBayGelding8 years16.2 hands","SOLD!"
"Lovely Dun Mare","Sport HorseDunMare6 years16.1 hands","SOLD!"
"Quality Mare for Sale","HolsteinerBayMare6 years16.2 hands","£25,000 neg"
"Advanced Eventer for Sale","Irish Sports HorseGreyGelding11 years16.1 hands","£45,000 neg"
"STRIKING DRESSAGE / SHOWJUMP","WarmbloodBrownMare9 years16.3 hands","£9,500"
"Top Allrounder Prospect by Indoctro","Irish Sports HorseDark bayMare6 years16.2 hands",""
"German Freelance Rider available","","POA"
"CHACCO BLUE STALLION","","£550 *JULY OFFER*"
"Quality Bay Irish Draught Colt","Irish DraughtBayColt2 years17 hands","£4,250 ovno"
"Beautifully marked gelding for sale","Irish Sports HorseGelding4 years15.2 hands","£4,000"
"HOYS M&M LARGE JUNIOR RIDDEN","Welsh Section DBayMare7 years147 cm (AHC)","£15,000 ono"
"Plasucha Classy Lady","Welsh Part BredColouredFilly","£3,900 ONO"
"Amazing all rounder","Irish DraughtDapple greyFilly3 years15.1 hands","£5,500"
"Great eventing breeding","ID x TBIron greyColtUnder 116 hands","£5,000"
"Fab Small Competition Horse","ThoroughbredBayMare8 years15.1 hands","£5,500 ovno"
"A Foal to Build your Dreams On","WarmbloodBayFillyUnder 1","£10,000"
"16.3 8yo gelding allrounder","Irish Sports HorseDark bayGelding8 years16.3 hands","£5,900 ono"
"Lexus W & W","Gelding3 years16.1 hands","£7,650"
"Kyra","BayMare5 years15.2 hands",""
"2018 stallion","BayStallion2 years","POA"
"INTERNATIONAL GRADE A SHOWJUMPER","Belgian WarmbloodGreyGelding10 years16 hands","£20,000 ono"
"INDIE","IrishBayMare14 years15.3 hands","£5,000"
"Eventer / show jumper","Irish Sports HorseSkewbaldGelding10 years16.2 hands","£15,000"
"Looking for a Forever Friend","",""
"Beautiful NNH/Small Hunter","CobSkewbaldMare9 years15.2 hands","£9,000"
"Happy hack","BayMare8 years15.3 hands","£2,000"
"Genuine & Gorgeous Palamino Gelding!","LusitanoPalominoGelding9 years15.3 hands","SOLD! Sold to a lovely home. Thank you to everyone that got in touch."
"Full Irish draft 3yrs","Irish DraughtSteel greyGelding3 years14.3 hands","£4,500"
"EVENT -SHOW - DRESSAGE - SHOW JUMP","Irish Sports HorseChestnutGelding5 years16.3 hands","£12,000"
"Perlino Broodmare","Welsh Section ACremelloMare15 years11 hands","£700"
"Serious Competition Horse","TB xBayMare12 years16.1 hands","£18,000 ovno"
"Happy Hack / Allrounder","TB xSkewbaldMare14 years16.2 hands","£4,000 ono"
"Winning machine","WarmbloodDark bayMare6 years15.3 hands","£14,000"